model,ok,bad,%ok,N,mean_tok
claude-3-5-sonnet-20240620,138,0,100.0,138,370.9
claude-3-opus-20240229,138,0,100.0,138,397.0
gemini-2.0-flash,74,76,49.3,150,784.9
gemini-2.5-flash-preview-05-20,148,2,98.7,150,1737.2
gpt-3.5-turbo,210,0,100.0,210,228.1
gpt-4,210,0,100.0,210,307.4
gpt-4-turbo,210,0,100.0,210,283.1
gpt-4.1,222,0,100.0,222,433.1
gpt-4o,222,0,100.0,222,426.9
llama3-8b-8192,102,36,73.9,138,337.3
