uid,model,variant,temperature,modality,strict,rescued,schema_status,file
0c07452f,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v2_t0_0.json
9cebf902,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v2_t0_0.json
dc35566b,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v0_t0_0.json
2bc72355,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v1_t0_0.json
faa67d8f,gemini-2.5-flash-preview-05-20,2,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v2_t0_5.json
1b64c419,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v0_t0_5.json
0dd1e9ca,gemini-2.5-flash-preview-05-20,2,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v2_t0_0.json
bbf22c00,gemini-2.5-flash-preview-05-20,1,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v1_t0_0.json
a79efa23,gemini-2.5-flash-preview-05-20,0,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v0_t0_5.json
27910ee5,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v2_t0_0.json
ab599408,gemini-2.5-flash-preview-05-20,1,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ab599408_v1_t0_0.json
f6d74921,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f6d74921_v0_t0_0.json
0c07452f,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v1_t0_5.json
9652a31e,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/9652a31e_v1_t0_5.json
b4ec494d,gemini-2.5-flash-preview-05-20,0,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/b4ec494d_v0_t0_0.json
f260aa25,gemini-2.5-flash-preview-05-20,2,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/f260aa25_v2_t0_0.json
8cc4a9e1,gemini-2.5-flash-preview-05-20,1,0.0,GUI,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v1_t0_0.json
ce0be4e8,gemini-2.5-flash-preview-05-20,1,0.0,VISION,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v1_t0_0.json
7e365caf,gemini-2.5-flash-preview-05-20,1,0.5,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v1_t0_5.json
8fc9d168,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v1_t0_0.json
936aa3e5,gemini-2.5-flash-preview-05-20,1,0.0,TEXT,1,1,strict,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v1_t0_0.json
