model,ok,bad,%ok,N,mean_tok
claude-3-5-sonnet-20240620,72,66,52.2,138,316.3
claude-3-opus-20240229,0,138,0.0,138,0.0
gemini-2.0-flash,25,125,16.7,150,670.0
gemini-2.5-flash-preview-05-20,147,3,98.0,150,1739.7
gpt-3.5-turbo,210,0,100.0,210,228.1
gpt-4,198,12,94.3,210,297.4
gpt-4-turbo,210,0,100.0,210,283.1
gpt-4.1,222,0,100.0,222,433.1
gpt-4o,217,5,97.7,222,426.6
llama3-8b-8192,98,40,71.0,138,334.8
