model,mean_score,N,ci_low,ci_high
gpt-3.5-turbo,61.19658119658121,72,,
gpt-4,63.504273504273506,72,,
gpt-4-turbo,64.97863247863249,72,,
gpt-4.1,78.11965811965813,72,,
gpt-4o,72.991452991453,72,,
o3-2025-04-16,83.58974358974359,72,,
