model,mean_score,N,ci_low,ci_high
claude-3-5-sonnet-20240620,53.36752136752136,180,,
claude-3-opus-20240229,50.17094017094017,180,,
gemini-2.0-flash,25.2991452991453,180,,
gemini-2.5-flash-preview-05-20,56.7905982905983,180,,
gpt-3.5-turbo,51.70940170940172,180,,
gpt-4,55.478632478632484,180,,
gpt-4-turbo,53.98290598290599,180,,
gpt-4.1,56.70940170940172,180,,
gpt-4o,57.0982905982906,180,,
llama3-8b-8192,38.11965811965812,180,,
