uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub,price_per_k,ctx_tokens,price_date,norm_schema,norm_rubric,norm_iou,norm_price,norm_safety,composite_score
0c07452f,"Elementary School Teachers, Except Special Education",2,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/0c07452f_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2bc72355,"Elementary School Teachers, Except Special Education",0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0025,256000.0,,1.0,0.2,0.0,0.0,1.0,35.38461538461539
d21fc252,"Shipping, Receiving, and Inventory Clerks",2,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v2_t0_5.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,,0.0,0.0
85a846ff,Medical Secretaries and Administrative Assistants,2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
47817359,"Bookkeeping, Accounting, and Auditing Clerks",2,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v2_t0_5.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,0.0,0.0,0.0
1b64c419,Medical Secretaries and Administrative Assistants,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
bbf22c00,"Bookkeeping, Accounting, and Auditing Clerks",0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
a79efa23,Customer Service Representatives,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/a79efa23_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
8fc9d168,Logisticians,2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
936aa3e5,"Bookkeeping, Accounting, and Auditing Clerks",2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
